__label__worry,Ahh  Well  I was hoping that I could learn some stuff on the way Why not you and I work on separate things but also
__label__sadness,I am  having a problem with my photo here in twitter  can't see my face 
__label__neutral,oh noooo  if i blow a tire you're reaaaally going to have to send up some batman smoke 
__label__neutral,wanna take a bath  
__label__neutral,Chocolate milk is so much better through a straw  I lack said straw
__label__worry,why am i so tired?
__label__neutral,Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting  talk soon must sleep up in 6 hours
__label__neutral,benballer no way  damn that sucks   are you ok?
__label__worry,sucks not being able to take days off of work or have the money to take the trip so sad
__label__enthusiasm,bed sorta  today was good  sara has strep thought Angelina does to  i shared a water with her before they told me i will prob get it to
__label__neutral, the recession  her hotel are restructuring how the accounts are done  adds a bit more pressure in the short term but we'll cope
__label__sadness,maternitytees Aww Onward and upwards now Still sad to leave I bet 
__label__worry,itsgabbith at once haha  poor aby still gets sore 
__label__sadness,diesel yaris  70mpg so sad its not available in the US  That'd be awesome 
__label__sadness,I want to buy this great album but unfortunately i dont hav enuff funds its long time noisy
__label__sadness,Pokinatcha in all honesty pain  blech 
__label__sadness,Ok  the passengers  no one is alive  they're all dead  you just don't know it til the end  then you cry  
__label__neutral,At home alone with not much to do
__label__worry,DavidCookLove ia so much  i haven't really been happy with any of cooks choices for singles 
__label__sadness,vincew stefanyngo i fell asleep on the beach and didn't put on enough sunscreen laughing out loud
__label__worry,So i think my son might have the flu cause I def  just cleaned up a stanky puke mess Poor pumkpin
__label__happiness,So great to see Oin    Cynthia  So happy  Dinner was great  cute little place  Too bad Oin got sick afterwards 
__label__neutral,I cant give jertronic any bday nudges 
__label__worry, and all woman who transfer their first impressions sexual maternal onto a less threatening man -- are themselves as weak as Him
__label__neutral,Brothers Bloom won't be opening this weekend in El Paso  I'll just buy Brick and enjoy that until I can watch Brothers Bloom 
__label__neutral,says I miss plurking 
__label__worry,Bitten to blood by my cat  on my way for a rabies bacterin  Seems 7 shots for 2 months  Never wash my cats at home again  they hate water
__label__neutral,I miss Voobys 
__label__happiness,havingmysay dude  that is my favorite sandwich place ever  ummm did you take PICTURES?
__label__worry,is sad that shin ae got married and it wasn't to alex
__label__worry,shondarhimes Sure you will tweet about this when you're back but news is abuzz about TR Knight's leaving confirmed today  Muy triste 
__label__sadness,RachelLock22 ohh thursday i have exams all day what about wednesday ?
__label__neutral,there was a mix up with my dentist appt this afternoon  so they rescheduled me for tomorrow 9am 
__label__sadness,gcrush nopantsdance i was just thinking about how excited i am for you guys to move but then i realized how sad i am to see you go 
__label__worry,goooood mooorning people  sun is out definitly spring now we had our first spring hail storm my car has dimples now  
__label__sadness,artfuldodga I love those 'it'sakey' USB sticks  We only have the 4GB in Australia
__label__worry,fresh prince and sleepy sleeps my nightly routine gotta go to Dmv early tmrw
__label__hate,dammit  hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers  so i can't watch and code
__label__worry,emmarler i am jealous of your mom talking to taylorswift13  i want to see you all our twittering is making me miss you
__label__worry,I can't sleep I keep thinking about the puppy I played with today
__label__worry, I am  suppposed to be sleep  But i got some much to do     i got that one part of the song stuck in my head your a jerk (iknow) blaahh
__label__neutral,lepetitagneau what's going on sweetheart?
__label__neutral,How can it be so freaking difficult to get a system-wide spellchecker? Shit I'd settle for an office suite one  Stupid unhelpful Windows
__label__worry,Last one month due to summer strawberry is not availble in the Chennai markets 
__label__neutral,willxxmobb work at 6am  Gotta go to bed soon
__label__love,RobertF3 correct  I ADORE him  I just plucked him up and put him under my arm cuz he was cryin  All better now  Hahaha
__label__sadness,sweeetnspicy hiii im on my ipod i cant fall asleep
__label__sadness,dont wanna work 11-830 tomorrow but i get paid
__label__sadness,feels sad because i wasn't able to play with the guys
__label__hate, i wanted to come to BZ this summer not so sure anymore  a teacher's life in the summer SUCKS
__label__worry,First ever dropped call on my mobile  On a call to Telstra no less  ( being charged for data even though I have a data pack 
__label__hate,mrgenius23 You win  SIGH Rakeem
__label__neutral,Oh is that time for real?
__label__sadness,Darn these allergies  I don't like this time of year because of this  I never used to have this problem either
__label__worry,Oh no one minute too late  Oh well
__label__hate,soviet_star Damn that sucks
__label__sadness, i wanted to come to BZ this summer not so sure anymore  a teacher's life in the summer SUCKS
__label__hate,mileycyrus THIS WEBSITE GAVE ME A VIRUS  When i opened it more windows kept POPPING up
__label__worry,ahh  big scary bug flying around my room 
__label__sadness,I wish she knew what she puts me through  She stole my heart never gave it back  and occasionally she likes to be like look what I have 
__label__worry,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
__label__neutral,justamedicine That was stone cold  Crazy ?
__label__boredom,i'm so tired
__label__neutral,melbournegirl I am  sure some1 will cum out and play  I am  workin through till midnight 
__label__neutral,thecreativeone I second that  I wish it rained more where I am
__label__sadness,neesabear early happy day of birth in case I don't make it  Very tired from therapy today n just taking my medicine  misshu  Love you 
__label__neutral,damn it were is Eric or anyone else when you need your hair to be played with
__label__neutral,I am  feel deflated  Ugh  No more dog 
__label__sadness,Allergies suck ducks nuts  
__label__neutral,Well it almost was a good day  Guess I just retry tomorrow
__label__hate,IamYeTe Waraku is tasteless and expensive  Portion is so little  re  waraku
__label__love,freepbx sounds good  Appreciate the suggestion  Been a week now and we're still offline Time to ask for a refund 
__label__worry,poinktoinkdoink He died  Wait what about Magic Jack? I just read it 
__label__hate,britblackbird youstinkatrespondingtotexts 
__label__sadness,wonders why her Karma points turned into 0 00
__label__happiness,Need to pack for CALI CALI  Cannot waittt  Thinking a glass of wine is in order to celebrate my weekend vaca  Still work 2morrow tho 
__label__sadness,Is miserable i feel like im gona cry sux 
__label__neutral,megturney well I ran out of beer so I left  Not sure about the ETA  Waiting waiting waiting  Bleh Gonna be a long nite methinks 
__label__worry,$ My nose stud fell out and I can't find it Looks like I'll have to head into Amsterdam today and get a new one
__label__neutral,claire breakfastnt love the show got into the office 5am and no radio
__label__love,Pats in philly at 2 am  I love it  Mmm cheesesteak  Miss my boyfriend  but I love vacation 
__label__sadness,*sigh* I am  going to bed  I just don't feel right anymore 
__label__neutral,What? I focused on Tom so much I didn't see my beloved Barack  Oh no  I must vote for both  Poor president only has 626 votes 
__label__neutral,jwillock EpiCentre Wheelock Place - tourists only  
__label__sadness,Now I am depressed after watching so you think you can dance
__label__sadness,Just cross 'cause I am  stuck twiddling my thumbs now ugh
__label__neutral,miss 16'th
__label__neutral,TheHarvardian I know  But like I said I have no idea how long it takes for them to investigate this stuff 
__label__worry,I cant sleep but im too sore to move
__label__neutral, Awe  I miss my baby
__label__empty,softtouchme just answered you- never learned how to write in French- just basic stuff-
__label__neutral,what is it with chocolates? i just can never say no
__label__worry,Achieving a new appreciation on how a xml build script can really be painful and cumbersome
__label__neutral,ether_radio i'm too awake now ill have a nap this afternoon
__label__worry,omfgiselle i cant do anything
__label__neutral,still needs another 6 hours of sleep
__label__relief,I am  at work
__label__fun,RIP leonardo  You were a great mini fiddler crab
__label__neutral,Morning tweepleway to early again
__label__sadness,Last day working for the Uni today sad times
__label__love,NisforNeemah thanks neemah  I am  gonna be soooo close to you and izzy yet so far
__label__worry,My head hurts so bad I could scream 
__label__worry,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain
__label__worry,New work wellness challenge not going well  I committed to not check email between 10 pm and 6 am  Failed on first day  Twice
__label__worry,New blog post  [Blog] auto insuran I just found that my auto insurance policy had been expired  ( I am too careless  ) Meanw  
__label__neutral,where are all ma bestfriends at ? MIA or wat ?
__label__worry,oh men I really can't see my face  c'mon guys 
__label__worry,I am  showing my age  Renewed my tags last week went down $20  Got my insurance renewal email today went down $100  I don't wanna be old
__label__worry,my sole supporter is not my sole supporter
__label__hate,don't you hate it when you finish all your work and there's still 1 25 hours left of work time
__label__worry,Emilyyy16 urgh stop it guys
__label__sadness,is still missing her husband I really want him home 
__label__sadness,I miss my puppy
__label__surprise,2 days of this month left and I only have 400MB left on my onpeak downloads 
__label__fun,IdleThumbs Up is out? I didn't get the memo  It looks amazing 
__label__sadness,nzdeany I've given up on pizza - kids would never let me have my fav (the hot ones)
__label__worry,Up reading tabloids about other people's lives thinking what I am  gonna do with mine when my baby leaves?
__label__sadness,BarbSchaefer yearling in pet home died  very sad for their whole family
__label__neutral,fun in the sun hmmm hell no it's cold
__label__worry,I got a giant splinter stuck up underneath my finger nail today at Muppets it hurt  But I got to go to First Aid for the first time 
__label__sadness,heresmyhello92 We hate change so of course  We're fans for life  &lt 3 Oh and if we haven't met Rob by then something went horribly wrong 
__label__worry,is feeling sad  for some reason
__label__sadness,well fuck- this new pain med has an odd warning that actually applies to me  i can't take this  -chan is displeased 
__label__sadness,just uploaded my new blog  a painful story about an 80s year old man who cried because he wanted to die  very sad
__label__neutral,juneyee i don't think so  I WANT DETAILS 
__label__neutral,jackgraycnn Hi Who is Mary Poppins???
__label__worry,jaychuck Its so addicting but its kind of a curse to do them at night time  Everytime i do one i feel like making music afterwards
__label__neutral,my last tweet didn't send bad phone
__label__fun,relly1 oh my God! Ur alive  laughing out loud 2day has gone sooo slow I am  going insane Grrr You doing anything tonight?
__label__empty,Have a headache I am  going to bed  Goodnight 
__label__neutral,taxidermi I was watching Parental Control
__label__fun,JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses i want them but i dont have ebay
__label__sadness,I just saw pics from this past Thanksgiving and am sad because Grandma was in them 
__label__worry,jertronic it wont let me
__label__sadness,Took a shift tomorrow I don't really feel like working right now 
__label__sadness,but now i have no money for a phone
__label__worry,Spent last night in A  E (ER)  Wife tangled wheels with Daughter    hit the deck  Dislocation    fracture resulted 
__label__worry,TheLastDoctor 9 days I am  about ready to visit Torchwood and see if they've heard anything
__label__surprise,Bern_morley where are you? In Bris? I can't hear any thunder
__label__surprise,bec vs fat food  --- winner = fat food but not this weeknend ill beat it 
__label__sadness,Too bad the Red Devils disappointing to say the least
__label__surprise,I had a dream about a pretty pretty beach and there was no beach when I woke up
__label__sadness,xdjio Have a 3ware 9650SE not fast enough for 3x X25-M SSD RAID5  800Mhz IOP on the HPT  Might try an Adaptec 5405 (1 2Ghz) 
__label__surprise,when da heck will the garage man get here I ask you WHEN  
__label__worry,Ate Mandy please forgive me  I really am sorry  I don't wanna lose my Bff
__label__hate,melluffsyew Umm yeah  That's probably a pretty good note to self because eeeeeewwwwwwww 
__label__worry,why are plane tickets so expensive
__label__fun,(wendyisastar) melluffsyew Umm yeah  That's probably a pretty good note to self because eeeeeewwwwwwww 
__label__worry,Needs a job BADLY 
__label__sadness,AlexanderGWhite daaammmnnnnn I do wish I was there 
__label__worry,Went to Di Bella coffee roasters today and asked for a job The person I needed to speak to is on holiday  fb
__label__sadness,yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
__label__empty,DymeDiva23 Nite  Now I am  up n bored as opposed to almost sleep frm b 4
__label__sadness,is a bad friend
__label__neutral,rlcpbiatch happy birthdayyy  hope you have an awesome day  didn't see you at next last night 
__label__hate,SparkDawgMusic im doing that shit right now  im on vacation and you got me workin
__label__neutral,aiderushton ill be over in an oir
__label__neutral,only1kcj guess its a no go girlie  I am  still at the gym and work at 6  30am
__label__hate,would wish the severe migrains would stop  doc's prescriptions arent working
__label__love,bobbyedner i missed the game
__label__sadness,moggy99 No internet last night  ER was brill there was a massive explosion at the end of a nearby gas works ER on standby
__label__hate,tiffalo cuz airlines are super lame 
__label__sadness,lenje - Still a pity it comes with no lamb though
__label__sadness,bloomsday16 I am  sorry to hear that  Here is my optimist  Things will get better  For all of us 
__label__relief,is done painting all the bedroom furniture I still have to do the table but it will wait until after the move  Uggh moving in the heat
__label__hate,I am  so very tired and have insomnia 
__label__neutral,juiceegapeach A hungry fool  Ill probably never see that Krispy Kreme again  Had to enjoy it  They closing down
__label__neutral,yelgiuQnayR airport? and you didnt show up tonight homo 
__label__hate,I hate Bakersfield and I hate the Ports let me go home already  I want to start my vacation 
__label__neutral,MrRathbone what about me
__label__neutral,Looking for desktop twitter app that will actually let you access URLs any suggestions? I liked Twittle but no linking
__label__worry,people in my house do not know how to close doors
__label__surprise,Why am I completing facebook quizzes at this time of the morning  especially a friday morning
__label__neutral,out with lizzziemonster    jamiejamess i am soooo hungry
__label__worry,munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death
__label__sadness,Had to cancel wow for now
__label__worry,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio
__label__sadness,fairyfroggie But yeah I am  sad about my Ravenclaw account  I love that account to bits 
__label__worry,It's 1  15 AM and I hear a helicopter flying over my house  That's kind of weird  In other news my headache is back  BOOOOO 
__label__worry,__sugar oh no i am always here  ) &lt 3
__label__neutral,back from school  Ms Suhana's last day as our FT OCU was okay  I am  playing ALTNOY over and over again 
__label__neutral, poll was trying to get it to work in a powerpoint to no avail 
__label__happiness,took a math test today  The day before the test the teacher says bring your calculator  Luke was confident  Teacher decided no calcs 
__label__happiness,omg the concert was awesome madrigals gave me chills on almost every piece brooks also called up alumni but i didnt get to go
__label__neutral,livestrongnj yeah it's terrible cockatoos are the hardest to live with so emotional  good thing he found you though  
__label__sadness,Up late with nothin 2 do 
__label__worry,i think the vog is making me sicker than i think  feeling slightly achy
__label__empty,TheTombert i was watching Harpers Island laughing out loud  there was no vodka involved
__label__worry,i am doing homework it sux big time maths is the worst  
__label__neutral,Nymo would have been better in my opinion  if it let you play through all 3 songs provided  I just start to get it and it blacks out 
__label__neutral,  3wordsaftersex it never started 
__label__sadness,sometimes i wish things could go back to the way they were the beginning of last summer
__label__worry,I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets but no they didn't
__label__empty,tarng Trudy's off Burnet the one up north that no one goes to
__label__sadness,kateisbored I feel the same way but I guess no matter where you are there will always be memes 
__label__happiness,I Can`t do 30 minutes of Treadmill but done 30 minutes for today already gonna do 20 minutes more
__label__worry,i'm sooooooooooooo confused
__label__neutral,With friends like VaikONedumaran LTTE didn't need enemies  Wrong advice at wrong time led to numerous deaths    a lost cause as well
__label__worry,Work day 7 of 7
__label__happiness,Chillin with the roomies  Can't wait for the zombie CLWN CR  Its gonna be 6-8 weeks
__label__neutral,I looove guitars and playing them  I think they sound magnificent  If only i was better  If only
__label__worry,SuperJerry No refunds but they do retrieve accounts takes like a week  Just hoping the thief doesn't use hacks or then it's permaban
__label__neutral,mysticnz no im not cries laughing out loud
__label__sadness,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind  bit misleading and disappointing laughing out loud
__label__surprise,Gurlstrange EpiCentre Wheelock Place 250 units    for tourists only  Starting today
__label__hate,I hate the new mt dew commercial  the one with a giant mosquito  it scares me and grosses me out all at the same time 
__label__neutral,Come on Knight  It's been well over 4 hours
__label__worry,not super keen on the drive home through the rain additional concentration required that i don't really wanna deal with
__label__surprise,FoxxFiles aw u can't let me in on the secret 
__label__surprise,freshypanda Im sorry I don't think I stick out at least compared to what I used to look like 
__label__worry,no transport for church wont be making it im crushed  Oh well more time for assignments I suppose  My throat really hurts  
__label__hate,i HATE when i see pregnant women smokinggg its sooo irresponsible n selfish  its saaad  ultimately the baby is the one who suffers 
__label__hate,Lies lies lies  you just cant avoid to lie about practically EVERYTHING 
__label__neutral,twittascope is NOT rocking my socks - go away already  
__label__neutral,Driving Back home because I forgot the piece of cake for v_era
__label__worry,seemouserun so I tried jumping without the trampoline and its like thud* thud* shouldn't have eaten that cookie
__label__sadness,Everytime I send an email to my coach I feel a need to practice shitty balls  laughing out loud
__label__sadness,It's pissing me off and not letting me follow ericka
__label__sadness,Is going to sleep not peaceful wanted to hear him say Good Night but that didn't happen Good Night everyone  
__label__sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack  i almost cried 
__label__neutral,koifusionpdx i was so close to the tacos one spot too late
__label__empty,msz_rockstar umm how bout em?  aint get 2 see da game but i see dey survived anotha game of da series due to notin but Lebron im guessin
__label__surprise,is thinking so much and i'm at work
__label__worry,I have forgot the live with the Jonas Brothers on Facebook
__label__sadness,I haven't seen Muffin in two whole days 
__label__sadness,YumiFujii i'll miss y'all back  give LesleyBoudy my regards 
__label__surprise,my gap year is going so quick
__label__worry,I have to admit I am  a bit bummed out that I wasn't with my friends walking today  
__label__neutral,jennyvokals girl a blunt is soooooooo in my thoughts right now  I had an absolutly GREAT day with a few stressors come home
__label__worry,my twitter has been hacked again
__label__sadness,Just found mj mouse flats at DJs  Of course there are none left in my size
__label__neutral,passingcarss i wont have time to buy and i need a new binder pa
__label__hate,lanacaitlin hahaha well its try its so ugly
__label__neutral,25-man Ulduar is hard 
__label__worry,jmoriarty I don't even want to know WHY you know about VHEMT but don't go - we'd miss you
__label__fun,OooChelcyooO That's awesome  We have that this weekend too but I can't go because I am  moving this Sat  I should be a lot of fun though
__label__neutral,night night twitter world  [still cant believe the thomas thing tomorrow's gunna be FUN/SAD]
__label__neutral,princess_oats this is happening to me too
__label__surprise,qi_tah oh no  *hugs*
__label__neutral,oxygen8705 bored now because i was talking to someone but now they're busy with something else just kinda a bummer idk
__label__sadness,xoshayzers i knoww things won't be the samee &lt /3
__label__worry,oh my God!-ness it's 11  18 pm and I need to beup early to set up my garage sale it starts a 8am wish I said 9am  I am  beat 
__label__happiness,vinylvickxen i kno i doooo  yall partyin with out me
__label__worry,Okay so twitter suddenly changed how do I respond to messages now
__label__neutral,ugh my dad just told me to read an article about Kavya Shivashankar the spellin bee girl  and be more like her 
__label__worry,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler  My hands covered I suck at it 
__label__sadness,Going to sleep  Gonna fall asleep playing apps again  Tmrw is going to suck
__label__neutral,ThaBillCollecta YEA I GOTTA BE UP AT 7  30
__label__hate,I hate when my bf beats da dogs  But I guess that the only way to teach these pitts 
__label__worry,sprained my ankle like really badly and tore some stuffs  it hurts  and its my birthday weekend
__label__sadness,I can't believe the Metal Gear Solid song was stolen  I am  so disappointed
__label__hate,think i may have broke a toe at the bar tonight  thanks drunk girl for steppin all over me 
__label__neutral,Not one sale done today at work  Explored balconies in the big theater w coworkers  A fun day but void of chili fries and tips
__label__sadness,MacZombieRawr I wish I had Left 4 Dead  But first I'd need something to play it on 
__label__neutral,sillybabyjulie me too
__label__neutral,digenis that story reminds of living in Portugal
__label__neutral,jhicks youre diabetic?  so is my dad     i might be too not sure  are you still allowed to eat sugar throughout the day?
__label__happiness,I spilled my beer all over my leg  Wasted half my beer  Home now  I met a cute girl  Good conversation 
__label__hate,my roommate tess_tickle loves to ignore me
__label__neutral,SuperFiasco I'll make him nachos tomorrow  Better than if he would have made them himself 
__label__neutral,MyDailyRoutine yeahhh    dont judge my pillow
__label__relief,Scary lightning and thunder I am  glad it's over now  Going to sleep I hope I am  not late to school tomorow again  Haha
__label__sadness,my teeth and head hurts
__label__sadness,I HATE rob zombie movies     the smell of weed  Vommmm 
__label__hate,jcwentz Maths and Science were the strongest for me i think  dunno bout geography only did like 1 day of study for 1/2 a year of work 
__label__boredom,Waiting in line tryst
__label__worry,Hope I get a job cuz we need an apartment  I am  drunk    miss my lil punkin TEHE 
__label__worry,just got home  not wanting to read the last chaper of breaking dawn cause i dont want it to beover
__label__worry,I need to be held  Gnite 
__label__worry,Hanging out with sam billy and veronica  not going to school tomorrow to take sam to body shops  Dang car accidents
__label__sadness,no more arrested development  i am sad 
__label__neutral,Giggles_xo wicked what time you leaving? how come you cant stay the night
__label__sadness,omg i keep losing followers this is so sad i want 90 one day  thats my goal  D
__label__sadness,I feel so deflated  No more doggy 
__label__worry,blood_rain i wanna see her hair hows everyone?
__label__sadness,I just had to empty my trash on the mac  that was one of THE MOST DIFFICULT things I have ever done in my life  8000 pictures are GONE 
__label__sadness,im contacting PAWS Philippines so i can find tiger a new owner  im so sad  i love my dog soo much
__label__sadness,just got home  not wanting to read the last chaper of breaking dawn cause i dont want it to be over
__label__worry,Aww  Pray for the arroyo family everyone 
__label__neutral,the_babsi there's a manual process  but it's taking 4ever on my outlook database  pffff  crappy msft product
__label__sadness,Fuuudge  Movie store is closed
__label__sadness,ALO is so sad and quiet and empty tonight
__label__hate,meganmansyn Hahahaha  It's not horrible if others were singing with I am  sure it could work  I wish I could afford my own drum set
__label__worry,wuzzyangel You never answered your DM I sent you  I need your info 
__label__worry,Am trying to get through the pilot of the first season of friday night lights  Oh gosh Pass the tissue 
__label__sadness,Mona26 Aw where are you headed to? i just cancelled my trip to Aussie
__label__worry,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts  
__label__worry,jose3030 I didn't think anyone caught that
__label__empty,I need to be sleeping But i'm not even tired  
__label__empty,0
__label__neutral,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE
__label__neutral,lyin in bed up faaaaar too early
__label__sadness,Sad that Christian Lacroix had to file bankruptcy
__label__sadness,I dont feel good AT ALL  fuckkk
__label__boredom,why did i agree to work a double shift
__label__worry,looks like i'll never go to the zoo
__label__worry,djvinceadams Ohh poor girl I'll email her  I am relying on you being here in October Mr  
__label__neutral,When will Medhurst play again?
__label__worry,Moss1982 bad times?
__label__hate,aarrgghh - fu*k a hose has leaked water all over the new floating floor
__label__sadness,Have to go to the dreaded DMV tomorrow
__label__neutral,duncm I am  a bit Ben's Thai-ed out
__label__happiness,english class  working on interactive orals
__label__worry,SharonHayes Thank you for the rec but that doesn't work
__label__neutral,dmoneymania I am  sorry  Excited for tomorrow night? Karaoke Getting anything special for bday?
__label__worry,My puppy Gizmo h8s me haha  He still growls me  I always look back my long pruple scar on my fingie
__label__worry,I don't know how ima work out tomorrow wit my body dis sore ugh
__label__neutral,in 7-11 w/o you
__label__neutral,becjee Yeah plus it's just a little too far to walk to Pinocchio's for sushi
__label__worry,I am  feeling this pressure in my head that always kicks in just before a nasty headache  I am  not looking forward to this 
__label__sadness,Taylor Swift and Joe Jonas looked really good together  I am  kinda sad they broke up 
__label__worry,I am  suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts 
__label__worry,Lady across the way had a miscarriage say a prayer
__label__sadness,God I just want to sleep 
__label__hate,ksutt11 ohhhh thunderstorms boo why do they always have to make the power go out??
__label__worry,I feel so deflated  No more doggy 
__label__sadness,Found my book  Starting a real paper-bound journal tonight  Have an annoying zit above my lip  Makes me look like I have herpes
__label__hate,RATT ROCKED NASHVILLE TONITE  ONE THING SUCKED NO ENCORE  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW  PEARCY HAS THAT HOTT BAD BOY LOOK
__label__worry,is feeling bad just got bad news about my Mum
__label__sadness,RealBlackWidow But but I dun wanna
__label__sadness,imjustlalayone damn girl I am  so down but you gotta let me know so I can get my kit together    I got a flyer Any next weekend? IM DOWN 
__label__sadness,JustinOdom dbl booooooo for being sick flippin blows bahaha i kno i dont have many friends on here either  i feel so lame haha
__label__neutral,brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am 
__label__neutral,Peeps still here  Fun times  Gotta sleep tho  Work in the A M  Some cool hot chicks here  But none as cool as ____________  Missing her
__label__worry,don't feel like working I think I tweet this too often 
__label__sadness,feels sick to my stomach and idkk whyy
__label__worry,vineri nimic special sau probabil un alt weekend pierdut 
__label__neutral,Counting the hours of lost sunshine until the Weekend
__label__surprise,justintevya - dude i just saw your SF pics  looks like your mini excursion was pretty kick ass  didn't see any sun while i was there tho
__label__relief,is home  safely  but hungry
__label__sadness,hello_jodie Um I was thrown from JareWolf's van yesterday and had to be taken to the ER
__label__worry,got to final table but  went out third  Don't think I'll be getting my free seat
__label__neutral,good morning work this morning gutted laughing out loud nevermind
__label__hate,I have to work in the morning while my friends get to party it up stupid bberry lite flashing red and I have no messages 
__label__happiness,FB is boring  and i wanna sing RIGHT NOW  *-*
__label__sadness,judyrey The link doesn't work
__label__neutral,Deedubau hahaha I don't know anyone or anything about it except they have powers laughing out loud  I live in my own bubble
__label__worry,The humpalow um you I think so  Cell is dying
__label__worry,Last day at work Sick to the bone
__label__worry,i feel like I am  on house arrest 
__label__neutral,love is like a wareasy to begin hard to end  fiuuhh 
__label__surprise,heavenjones ur supposed to be in BK tho
__label__worry,cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad
__label__surprise,Oh no  Nighty night 
__label__happiness,celldweller Must  have  new music  I won't sleep until you give us Chapter 1  I might die first though  Hurry 
__label__sadness,my stupid tooooth hurts
__label__love,neyoofficial  love the song together  that's his song for me well i think it's still is
__label__neutral,Ready To Go School
__label__sadness,turnitgrey my computers broken and I broke my laptop so I had to use the phone ahh still on he cause they fucked up my order 
__label__neutral,Richard_Gable It's good isn't it  Our holiday chalet is out of sight but look v similar to those ones  Going home again today
__label__worry,It's a sad economy  Just heard of another friend losing their job  so sad  But just a reminder that 
__label__worry,jarekpastor I am  just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages
__label__worry,my dog ran awayyy
__label__hate,all_is_one84 Those suck so bad 
__label__worry,I am  back  top molar extracted swollen face all numb  But no more toothache or sinus pain 
__label__relief,just finished 8 hours of Texas Life Insurance CE tonight 22 more hours to go
